Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 7.201084e-02, 2.737878e-02, 7.366963e-02, 1.015765e+00, 1.150928e+00, -2.190787e+00, 2.345788e+00, -5.427478e-01, 5.231785e-10, 6.725624e-10, 5.855899e-10, 4.260709e-10, 4.511086e+01, 1.054450e-01
2.038000e+08, 7.297499e-02, 2.782402e-02, 7.307902e-02, 1.015307e+00, 1.138436e+00, -2.206845e+00, 2.331806e+00, -5.529207e-01, 5.203129e-10, 6.679099e-10, 5.926084e-10, 4.253160e-10, 4.521469e+01, 1.060082e-01
2.076000e+08, 7.392886e-02, 2.826571e-02, 7.248032e-02, 1.014858e+00, 1.126013e+00, -2.222792e+00, 2.317657e+00, -5.630756e-01, 5.174436e-10, 6.634011e-10, 5.997256e-10, 4.245900e-10, 4.531985e+01, 1.065327e-01
2.114000e+08, 7.487254e-02, 2.870381e-02, 7.187364e-02, 1.014416e+00, 1.113659e+00, -2.238632e+00, 2.303338e+00, -5.732131e-01, 5.145748e-10, 6.590285e-10, 6.069584e-10, 4.238926e-10, 4.542630e+01, 1.070173e-01
2.152000e+08, 7.580613e-02, 2.913832e-02, 7.125907e-02, 1.013982e+00, 1.101373e+00, -2.254367e+00, 2.288846e+00, -5.833340e-01, 5.117103e-10, 6.547849e-10, 6.143236e-10, 4.232234e-10, 4.553401e+01, 1.074612e-01
2.190000e+08, 7.672974e-02, 2.956921e-02, 7.063674e-02, 1.013558e+00, 1.089155e+00, -2.270000e+00, 2.274179e+00, -5.934390e-01, 5.088538e-10, 6.506633e-10, 6.218380e-10, 4.225823e-10, 4.564295e+01, 1.078635e-01
2.228000e+08, 7.764347e-02, 2.999647e-02, 7.000675e-02, 1.013143e+00, 1.077006e+00, -2.285536e+00, 2.259332e+00, -6.035286e-01, 5.060089e-10, 6.466575e-10, 6.295183e-10, 4.219688e-10, 4.575307e+01, 1.082233e-01
2.266000e+08, 7.854739e-02, 3.042009e-02, 6.936925e-02, 1.012737e+00, 1.064924e+00, -2.300975e+00, 2.244301e+00, -6.136035e-01, 5.031788e-10, 6.427612e-10, 6.373814e-10, 4.213829e-10, 4.586436e+01, 1.085397e-01
2.304000e+08, 7.944161e-02, 3.084004e-02, 6.872435e-02, 1.012341e+00, 1.052910e+00, -2.316322e+00, 2.229083e+00, -6.236645e-01, 5.003666e-10, 6.389689e-10, 6.454444e-10, 4.208240e-10, 4.597676e+01, 1.088121e-01
2.342000e+08, 8.032620e-02, 3.125631e-02, 6.807221e-02, 1.011955e+00, 1.040963e+00, -2.331578e+00, 2.213672e+00, -6.337122e-01, 4.975751e-10, 6.352750e-10, 6.537247e-10, 4.202921e-10, 4.609025e+01, 1.090397e-01
2.380000e+08, 8.120126e-02, 3.166889e-02, 6.741297e-02, 1.011579e+00, 1.029083e+00, -2.346746e+00, 2.198064e+00, -6.437471e-01, 4.948069e-10, 6.316743e-10, 6.622400e-10, 4.197868e-10, 4.620479e+01, 1.092217e-01
2.418000e+08, 8.206687e-02, 3.207776e-02, 6.674679e-02, 1.011213e+00, 1.017269e+00, -2.361828e+00, 2.182252e+00, -6.537700e-01, 4.920645e-10, 6.281620e-10, 6.710085e-10, 4.193077e-10, 4.632033e+01, 1.093574e-01
2.456000e+08, 8.292309e-02, 3.248291e-02, 6.607383e-02, 1.010858e+00, 1.005521e+00, -2.376826e+00, 2.166231e+00, -6.637814e-01, 4.893503e-10, 6.247335e-10, 6.800488e-10, 4.188547e-10, 4.643685e+01, 1.094463e-01
2.494000e+08, 8.377002e-02, 3.288432e-02, 6.539427e-02, 1.010514e+00, 9.938369e-01, -2.391742e+00, 2.149994e+00, -6.737820e-01, 4.866664e-10, 6.213842e-10, 6.893804e-10, 4.184274e-10, 4.655430e+01, 1.094877e-01
2.532000e+08, 8.460773e-02, 3.328198e-02, 6.470829e-02, 1.010180e+00, 9.822172e-01, -2.406578e+00, 2.133534e+00, -6.837724e-01, 4.840147e-10, 6.181101e-10, 6.990232e-10, 4.180254e-10, 4.667263e+01, 1.094809e-01
2.570000e+08, 8.543628e-02, 3.367588e-02, 6.401608e-02, 1.009858e+00, 9.706608e-01, -2.421336e+00, 2.116844e+00, -6.937533e-01, 4.813972e-10, 6.149069e-10, 7.089979e-10, 4.176484e-10, 4.679182e+01, 1.094255e-01
