Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 8.091582e-02, 9.901507e-01, 6.786908e-02, 2.012606e-02, 2.336293e+00, -4.442773e-01, 1.214310e+00, -2.129798e+00, 4.879018e-10, 3.628342e-10, 4.957094e-10, 4.405102e-10, 4.470815e+01, 1.169201e-01
2.038000e+08, 8.061743e-02, 9.899087e-01, 6.892834e-02, 2.049726e-02, 2.324644e+00, -4.529404e-01, 1.202474e+00, -2.140315e+00, 4.927755e-10, 3.621934e-10, 4.920589e-10, 4.421083e-10, 4.478781e+01, 1.177715e-01
2.076000e+08, 8.031786e-02, 9.896680e-01, 6.998012e-02, 2.086812e-02, 2.312878e+00, -4.615881e-01, 1.190726e+00, -2.150871e+00, 4.975157e-10, 3.615739e-10, 4.884759e-10, 4.436817e-10, 4.486851e+01, 1.186081e-01
2.114000e+08, 8.001712e-02, 9.894287e-01, 7.102440e-02, 2.123861e-02, 2.300999e+00, -4.702211e-01, 1.179063e+00, -2.161465e+00, 5.021343e-10, 3.609750e-10, 4.849602e-10, 4.452293e-10, 4.495021e+01, 1.194290e-01
2.152000e+08, 7.971521e-02, 9.891910e-01, 7.206116e-02, 2.160868e-02, 2.289010e+00, -4.788398e-01, 1.167484e+00, -2.172095e+00, 5.066420e-10, 3.603956e-10, 4.815117e-10, 4.467495e-10, 4.503291e+01, 1.202333e-01
2.190000e+08, 7.941216e-02, 9.889550e-01, 7.309038e-02, 2.197827e-02, 2.276914e+00, -4.874446e-01, 1.155988e+00, -2.182762e+00, 5.110488e-10, 3.598351e-10, 4.781299e-10, 4.482402e-10, 4.511658e+01, 1.210200e-01
2.228000e+08, 7.910800e-02, 9.887210e-01, 7.411204e-02, 2.234732e-02, 2.264712e+00, -4.960361e-01, 1.144572e+00, -2.193464e+00, 5.153637e-10, 3.592926e-10, 4.748143e-10, 4.496993e-10, 4.520121e+01, 1.217884e-01
2.266000e+08, 7.880277e-02, 9.884892e-01, 7.512613e-02, 2.271578e-02, 2.252407e+00, -5.046146e-01, 1.133235e+00, -2.204201e+00, 5.195951e-10, 3.587676e-10, 4.715644e-10, 4.511244e-10, 4.528678e+01, 1.225377e-01
2.304000e+08, 7.849650e-02, 9.882595e-01, 7.613262e-02, 2.308359e-02, 2.240001e+00, -5.131806e-01, 1.121976e+00, -2.214972e+00, 5.237507e-10, 3.582595e-10, 4.683795e-10, 4.525127e-10, 4.537326e+01, 1.232672e-01
2.342000e+08, 7.818923e-02, 9.880324e-01, 7.713152e-02, 2.345067e-02, 2.227496e+00, -5.217344e-01, 1.110793e+00, -2.225776e+00, 5.278376e-10, 3.577676e-10, 4.652590e-10, 4.538618e-10, 4.546063e+01, 1.239763e-01
