Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 2.966165e-02, 1.015915e+00, 2.236164e+00, -3.117387e-01, 4.170344e-10, 2.554974e-10, 4.820273e+01, 4.667620e-02
2.038000e+08, 2.966005e-02, 1.015831e+00, 2.226207e+00, -3.178389e-01, 4.236426e-10, 2.552469e-10, 4.822533e+01, 4.703553e-02
2.076000e+08, 2.966043e-02, 1.015746e+00, 2.216092e+00, -3.239333e-01, 4.299629e-10, 2.550055e-10, 4.824835e+01, 4.739893e-02
2.114000e+08, 2.966270e-02, 1.015660e+00, 2.205826e+00, -3.300218e-01, 4.360132e-10, 2.547727e-10, 4.827180e+01, 4.776585e-02
2.152000e+08, 2.966680e-02, 1.015575e+00, 2.195416e+00, -3.361048e-01, 4.418097e-10, 2.545479e-10, 4.829567e+01, 4.813575e-02
2.190000e+08, 2.967266e-02, 1.015489e+00, 2.184867e+00, -3.421824e-01, 4.473672e-10, 2.543306e-10, 4.831998e+01, 4.850813e-02
2.228000e+08, 2.968022e-02, 1.015402e+00, 2.174186e+00, -3.482548e-01, 4.526995e-10, 2.541204e-10, 4.834470e+01, 4.888252e-02
2.266000e+08, 2.968943e-02, 1.015316e+00, 2.163377e+00, -3.543222e-01, 4.578192e-10, 2.539169e-10, 4.836985e+01, 4.925846e-02
2.304000e+08, 2.970024e-02, 1.015230e+00, 2.152446e+00, -3.603848e-01, 4.627378e-10, 2.537197e-10, 4.839543e+01, 4.963552e-02
2.342000e+08, 2.971261e-02, 1.015143e+00, 2.141398e+00, -3.664426e-01, 4.674660e-10, 2.535286e-10, 4.842143e+01, 5.001330e-02
2.380000e+08, 2.972650e-02, 1.015056e+00, 2.130237e+00, -3.724959e-01, 4.720137e-10, 2.533431e-10, 4.844785e+01, 5.039139e-02
2.418000e+08, 2.974187e-02, 1.014970e+00, 2.118967e+00, -3.785447e-01, 4.763900e-10, 2.531632e-10, 4.847470e+01, 5.076943e-02
2.456000e+08, 2.975870e-02, 1.014883e+00, 2.107592e+00, -3.845893e-01, 4.806032e-10, 2.529884e-10, 4.850196e+01, 5.114705e-02
2.494000e+08, 2.977695e-02, 1.014797e+00, 2.096117e+00, -3.906296e-01, 4.846611e-10, 2.528185e-10, 4.852965e+01, 5.152390e-02
2.532000e+08, 2.979660e-02, 1.014711e+00, 2.084546e+00, -3.966660e-01, 4.885710e-10, 2.526535e-10, 4.855775e+01, 5.189966e-02
