Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 5.610910e-02, 9.716188e-01, 2.884956e+00, -2.612859e-01, 3.388018e-10, 1.959235e-10, 4.485322e+01, 2.856637e-02
2.038000e+08, 5.597177e-02, 9.717033e-01, 2.876867e+00, -2.659638e-01, 3.354540e-10, 1.962646e-10, 4.487573e+01, 2.937301e-02
2.076000e+08, 5.583327e-02, 9.717886e-01, 2.868858e+00, -2.706498e-01, 3.322556e-10, 1.965927e-10, 4.489851e+01, 3.016412e-02
2.114000e+08, 5.569358e-02, 9.718746e-01, 2.860925e+00, -2.753437e-01, 3.291973e-10, 1.969087e-10, 4.492155e+01, 3.094010e-02
2.152000e+08, 5.555273e-02, 9.719612e-01, 2.853065e+00, -2.800451e-01, 3.262706e-10, 1.972133e-10, 4.494485e+01, 3.170134e-02
2.190000e+08, 5.541070e-02, 9.720484e-01, 2.845275e+00, -2.847538e-01, 3.234677e-10, 1.975074e-10, 4.496840e+01, 3.244819e-02
2.228000e+08, 5.526750e-02, 9.721362e-01, 2.837551e+00, -2.894695e-01, 3.207817e-10, 1.977916e-10, 4.499219e+01, 3.318101e-02
2.266000e+08, 5.512314e-02, 9.722245e-01, 2.829892e+00, -2.941920e-01, 3.182061e-10, 1.980664e-10, 4.501622e+01, 3.390009e-02
2.304000e+08, 5.497764e-02, 9.723132e-01, 2.822295e+00, -2.989210e-01, 3.157351e-10, 1.983325e-10, 4.504048e+01, 3.460576e-02
2.342000e+08, 5.483099e-02, 9.724022e-01, 2.814756e+00, -3.036564e-01, 3.133633e-10, 1.985904e-10, 4.506496e+01, 3.529830e-02
2.380000e+08, 5.468321e-02, 9.724916e-01, 2.807275e+00, -3.083980e-01, 3.110858e-10, 1.988405e-10, 4.508967e+01, 3.597797e-02
2.418000e+08, 5.453432e-02, 9.725812e-01, 2.799847e+00, -3.131455e-01, 3.088982e-10, 1.990832e-10, 4.511459e+01, 3.664504e-02
2.456000e+08, 5.438432e-02, 9.726711e-01, 2.792472e+00, -3.178989e-01, 3.067964e-10, 1.993190e-10, 4.513971e+01, 3.729976e-02
2.494000e+08, 5.423323e-02, 9.727611e-01, 2.785147e+00, -3.226578e-01, 3.047766e-10, 1.995481e-10, 4.516504e+01, 3.794236e-02
2.532000e+08, 5.408107e-02, 9.728513e-01, 2.777870e+00, -3.274222e-01, 3.028353e-10, 1.997710e-10, 4.519057e+01, 3.857307e-02
2.570000e+08, 5.392784e-02, 9.729415e-01, 2.770639e+00, -3.321920e-01, 3.009695e-10, 1.999878e-10, 4.521628e+01, 3.919209e-02
2.608000e+08, 5.377356e-02, 9.730317e-01, 2.763453e+00, -3.369669e-01, 2.991761e-10, 2.001989e-10, 4.524219e+01, 3.979965e-02
2.646000e+08, 5.361825e-02, 9.731218e-01, 2.756310e+00, -3.417469e-01, 2.974526e-10, 2.004045e-10, 4.526827e+01, 4.039594e-02
2.684000e+08, 5.346192e-02, 9.732119e-01, 2.749208e+00, -3.465318e-01, 2.957964e-10, 2.006048e-10, 4.529454e+01, 4.098115e-02
2.722000e+08, 5.330458e-02, 9.733018e-01, 2.742146e+00, -3.513214e-01, 2.942053e-10, 2.008001e-10, 4.532097e+01, 4.155547e-02
