Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 3.878204e-02, 1.064806e+00, 7.739919e-01, -2.539753e-01, 1.526078e-10, 2.265100e-10, 5.285036e+01, 5.424534e-02
2.038000e+08, 3.877594e-02, 1.064660e+00, 7.703483e-01, -2.593835e-01, 1.447251e-10, 2.258717e-10, 5.286034e+01, 5.403466e-02
2.076000e+08, 3.878133e-02, 1.064513e+00, 7.668928e-01, -2.647764e-01, 1.372742e-10, 2.252597e-10, 5.287061e+01, 5.384977e-02
2.114000e+08, 3.879770e-02, 1.064366e+00, 7.636152e-01, -2.701548e-01, 1.302395e-10, 2.246723e-10, 5.288119e+01, 5.368936e-02
2.152000e+08, 3.882458e-02, 1.064218e+00, 7.605056e-01, -2.755191e-01, 1.236059e-10, 2.241078e-10, 5.289207e+01, 5.355217e-02
2.190000e+08, 3.886157e-02, 1.064069e+00, 7.575544e-01, -2.808699e-01, 1.173588e-10, 2.235647e-10, 5.290326e+01, 5.343705e-02
2.228000e+08, 3.890824e-02, 1.063920e+00, 7.547523e-01, -2.862077e-01, 1.114839e-10, 2.230418e-10, 5.291478e+01, 5.334290e-02
2.266000e+08, 3.896425e-02, 1.063770e+00, 7.520905e-01, -2.915331e-01, 1.059675e-10, 2.225376e-10, 5.292661e+01, 5.326868e-02
2.304000e+08, 3.902925e-02, 1.063620e+00, 7.495604e-01, -2.968464e-01, 1.007963e-10, 2.220512e-10, 5.293877e+01, 5.321344e-02
2.342000e+08, 3.910292e-02, 1.063469e+00, 7.471538e-01, -3.021481e-01, 9.595723e-11, 2.215814e-10, 5.295127e+01, 5.317625e-02
2.380000e+08, 3.918496e-02, 1.063318e+00, 7.448627e-01, -3.074387e-01, 9.143785e-11, 2.211273e-10, 5.296410e+01, 5.315625e-02
2.418000e+08, 3.927509e-02, 1.063167e+00, 7.426795e-01, -3.127183e-01, 8.722594e-11, 2.206881e-10, 5.297727e+01, 5.315263e-02
2.456000e+08, 3.937306e-02, 1.063015e+00, 7.405969e-01, -3.179875e-01, 8.330971e-11, 2.202628e-10, 5.299079e+01, 5.316461e-02
2.494000e+08, 3.947862e-02, 1.062864e+00, 7.386078e-01, -3.232465e-01, 7.967770e-11, 2.198509e-10, 5.300466e+01, 5.319144e-02
2.532000e+08, 3.959154e-02, 1.062712e+00, 7.367054e-01, -3.284957e-01, 7.631879e-11, 2.194515e-10, 5.301888e+01, 5.323243e-02
2.570000e+08, 3.971160e-02, 1.062559e+00, 7.348832e-01, -3.337353e-01, 7.322220e-11, 2.190641e-10, 5.303346e+01, 5.328691e-02
2.608000e+08, 3.983859e-02, 1.062407e+00, 7.331349e-01, -3.389657e-01, 7.037748e-11, 2.186881e-10, 5.304840e+01, 5.335424e-02
2.646000e+08, 3.997233e-02, 1.062255e+00, 7.314546e-01, -3.441871e-01, 6.777445e-11, 2.183229e-10, 5.306371e+01, 5.343381e-02
2.684000e+08, 4.011263e-02, 1.062103e+00, 7.298364e-01, -3.493998e-01, 6.540327e-11, 2.179681e-10, 5.307938e+01, 5.352504e-02
2.722000e+08, 4.025931e-02, 1.061951e+00, 7.282748e-01, -3.546041e-01, 6.325436e-11, 2.176231e-10, 5.309543e+01, 5.362737e-02
2.760000e+08, 4.041221e-02, 1.061799e+00, 7.267646e-01, -3.598001e-01, 6.131845e-11, 2.172877e-10, 5.311185e+01, 5.374026e-02
2.798000e+08, 4.057116e-02, 1.061648e+00, 7.253005e-01, -3.649880e-01, 5.958651e-11, 2.169612e-10, 5.312866e+01, 5.386319e-02
2.836000e+08, 4.073601e-02, 1.061497e+00, 7.238778e-01, -3.701682e-01, 5.804980e-11, 2.166435e-10, 5.314584e+01, 5.399567e-02
2.874000e+08, 4.090661e-02, 1.061346e+00, 7.224918e-01, -3.753408e-01, 5.669983e-11, 2.163341e-10, 5.316341e+01, 5.413721e-02
2.912000e+08, 4.108283e-02, 1.061195e+00, 7.211381e-01, -3.805061e-01, 5.552837e-11, 2.160328e-10, 5.318137e+01, 5.428737e-02
2.950000e+08, 4.126453e-02, 1.061045e+00, 7.198123e-01, -3.856641e-01, 5.452743e-11, 2.157391e-10, 5.319971e+01, 5.444569e-02
2.988000e+08, 4.145158e-02, 1.060895e+00, 7.185104e-01, -3.908151e-01, 5.368925e-11, 2.154530e-10, 5.321845e+01, 5.461173e-02
3.026000e+08, 4.164384e-02, 1.060746e+00, 7.172285e-01, -3.959593e-01, 5.300634e-11, 2.151740e-10, 5.323759e+01, 5.478510e-02
3.064000e+08, 4.184121e-02, 1.060597e+00, 7.159629e-01, -4.010968e-01, 5.247140e-11, 2.149020e-10, 5.325712e+01, 5.496537e-02
3.102000e+08, 4.204355e-02, 1.060449e+00, 7.147101e-01, -4.062278e-01, 5.207738e-11, 2.146366e-10, 5.327705e+01, 5.515216e-02
3.140000e+08, 4.225076e-02, 1.060302e+00, 7.134667e-01, -4.113525e-01, 5.181744e-11, 2.143778e-10, 5.329738e+01, 5.534508e-02
3.178000e+08, 4.246272e-02, 1.060155e+00, 7.122295e-01, -4.164710e-01, 5.168498e-11, 2.141254e-10, 5.331812e+01, 5.554378e-02
3.216000e+08, 4.267932e-02, 1.060009e+00, 7.109954e-01, -4.215835e-01, 5.167359e-11, 2.138790e-10, 5.333926e+01, 5.574788e-02
3.254000e+08, 4.290046e-02, 1.059864e+00, 7.097617e-01, -4.266901e-01, 5.177706e-11, 2.136386e-10, 5.336081e+01, 5.595704e-02
3.292000e+08, 4.312603e-02, 1.059719e+00, 7.085254e-01, -4.317909e-01, 5.198941e-11, 2.134039e-10, 5.338276e+01, 5.617092e-02
3.330000e+08, 4.335593e-02, 1.059576e+00, 7.072841e-01, -4.368862e-01, 5.230485e-11, 2.131749e-10, 5.340513e+01, 5.638918e-02
3.368000e+08, 4.359006e-02, 1.059433e+00, 7.060353e-01, -4.419760e-01, 5.271778e-11, 2.129513e-10, 5.342790e+01, 5.661151e-02
3.406000e+08, 4.382833e-02, 1.059291e+00, 7.047766e-01, -4.470604e-01, 5.322281e-11, 2.127331e-10, 5.345108e+01, 5.683757e-02
3.444000e+08, 4.407063e-02, 1.059150e+00, 7.035058e-01, -4.521397e-01, 5.381472e-11, 2.125200e-10, 5.347468e+01, 5.706708e-02
