Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 4.044139e-02, 1.058040e+00, 6.562776e-01, -3.082713e-01, 1.845062e-10, 2.714912e-10, 5.330802e+01, 4.939304e-02
2.038000e+08, 4.038766e-02, 1.057833e+00, 6.518723e-01, -3.147534e-01, 1.755464e-10, 2.707652e-10, 5.331506e+01, 4.904514e-02
2.076000e+08, 4.034509e-02, 1.057624e+00, 6.476809e-01, -3.212182e-01, 1.670453e-10, 2.700683e-10, 5.332239e+01, 4.872427e-02
2.114000e+08, 4.031318e-02, 1.057415e+00, 6.436925e-01, -3.276664e-01, 1.589872e-10, 2.693984e-10, 5.333002e+01, 4.842904e-02
2.152000e+08, 4.029151e-02, 1.057205e+00, 6.398965e-01, -3.340986e-01, 1.513572e-10, 2.687538e-10, 5.333796e+01, 4.815810e-02
2.190000e+08, 4.027966e-02, 1.056994e+00, 6.362827e-01, -3.405154e-01, 1.441407e-10, 2.681328e-10, 5.334622e+01, 4.791023e-02
2.228000e+08, 4.027725e-02, 1.056782e+00, 6.328412e-01, -3.469173e-01, 1.373240e-10, 2.675341e-10, 5.335481e+01, 4.768425e-02
2.266000e+08, 4.028395e-02, 1.056570e+00, 6.295624e-01, -3.533050e-01, 1.308935e-10, 2.669561e-10, 5.336372e+01, 4.747906e-02
2.304000e+08, 4.029941e-02, 1.056357e+00, 6.264372e-01, -3.596789e-01, 1.248363e-10, 2.663979e-10, 5.337298e+01, 4.729362e-02
2.342000e+08, 4.032336e-02, 1.056144e+00, 6.234566e-01, -3.660394e-01, 1.191399e-10, 2.658581e-10, 5.338257e+01, 4.712694e-02
2.380000e+08, 4.035550e-02, 1.055931e+00, 6.206120e-01, -3.723871e-01, 1.137922e-10, 2.653357e-10, 5.339252e+01, 4.697810e-02
2.418000e+08, 4.039558e-02, 1.055717e+00, 6.178951e-01, -3.787223e-01, 1.087816e-10, 2.648300e-10, 5.340282e+01, 4.684620e-02
