Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 4.876586e-02, 9.514008e-01, 1.041296e-03, 5.170815e-04, 3.081908e+00, -3.468888e-02, 6.931499e-01, -1.680950e+00, 1.347954e-12, 3.177989e-11, -2.459696e-10, -2.154375e-10, 4.535810e+01, 5.831540e-03
2.038000e+08, 4.873324e-02, 9.514239e-01, 1.058785e-03, 5.280919e-04, 3.081875e+00, -3.544766e-02, 6.990227e-01, -1.675806e+00, 1.958897e-12, 3.170019e-11, -2.502636e-10, -2.057067e-10, 4.536107e+01, 5.830759e-03
2.076000e+08, 4.870046e-02, 9.514471e-01, 1.076253e-03, 5.392081e-04, 3.081829e+00, -3.620453e-02, 7.049981e-01, -1.670895e+00, 2.529446e-12, 3.162459e-11, -2.543628e-10, -1.961107e-10, 4.536406e+01, 5.831376e-03
2.114000e+08, 4.866753e-02, 9.514705e-01, 1.093711e-03, 5.504287e-04, 3.081768e+00, -3.695960e-02, 7.110712e-01, -1.666212e+00, 3.062676e-12, 3.155281e-11, -2.582375e-10, -1.866596e-10, 4.536706e+01, 5.833296e-03
2.152000e+08, 4.863446e-02, 9.514942e-01, 1.111171e-03, 5.617518e-04, 3.081695e+00, -3.771296e-02, 7.172370e-01, -1.661756e+00, 3.561400e-12, 3.148458e-11, -2.618584e-10, -1.773615e-10, 4.537008e+01, 5.836430e-03
2.190000e+08, 4.860127e-02, 9.515180e-01, 1.128648e-03, 5.731759e-04, 3.081610e+00, -3.846469e-02, 7.234891e-01, -1.657521e+00, 4.028207e-12, 3.141966e-11, -2.651968e-10, -1.682233e-10, 4.537312e+01, 5.840699e-03
2.228000e+08, 4.856798e-02, 9.515419e-01, 1.146153e-03, 5.846989e-04, 3.081514e+00, -3.921487e-02, 7.298210e-01, -1.653504e+00, 4.465476e-12, 3.135782e-11, -2.682255e-10, -1.592504e-10, 4.537617e+01, 5.846026e-03
2.266000e+08, 4.853458e-02, 9.515661e-01, 1.163699e-03, 5.963188e-04, 3.081407e+00, -3.996357e-02, 7.362252e-01, -1.649702e+00, 4.875400e-12, 3.129886e-11, -2.709190e-10, -1.504468e-10, 4.537923e+01, 5.852342e-03
2.304000e+08, 4.850111e-02, 9.515903e-01, 1.181300e-03, 6.080336e-04, 3.081291e+00, -4.071087e-02, 7.426936e-01, -1.646110e+00, 5.260003e-12, 3.124260e-11, -2.732539e-10, -1.418154e-10, 4.538230e+01, 5.859584e-03
2.342000e+08, 4.846757e-02, 9.516147e-01, 1.198967e-03, 6.198409e-04, 3.081165e+00, -4.145682e-02, 7.492179e-01, -1.642724e+00, 5.621153e-12, 3.118885e-11, -2.752097e-10, -1.333579e-10, 4.538538e+01, 5.867693e-03
2.380000e+08, 4.843398e-02, 9.516393e-01, 1.216712e-03, 6.317385e-04, 3.081031e+00, -4.220149e-02, 7.557888e-01, -1.639540e+00, 5.960583e-12, 3.113746e-11, -2.767690e-10, -1.250753e-10, 4.538847e+01, 5.876614e-03
2.418000e+08, 4.840034e-02, 9.516639e-01, 1.234547e-03, 6.437241e-04, 3.080889e+00, -4.294493e-02, 7.623970e-01, -1.636554e+00, 6.279894e-12, 3.108828e-11, -2.779179e-10, -1.169676e-10, 4.539156e+01, 5.886297e-03
2.456000e+08, 4.836668e-02, 9.516886e-01, 1.252482e-03, 6.557951e-04, 3.080739e+00, -4.368720e-02, 7.690326e-01, -1.633761e+00, 6.580576e-12, 3.104119e-11, -2.786461e-10, -1.090341e-10, 4.539466e+01, 5.896694e-03
2.494000e+08, 4.833300e-02, 9.517134e-01, 1.270526e-03, 6.679491e-04, 3.080582e+00, -4.442834e-02, 7.756856e-01, -1.631158e+00, 6.864010e-12, 3.099604e-11, -2.789476e-10, -1.012737e-10, 4.539776e+01, 5.907764e-03
2.532000e+08, 4.829932e-02, 9.517383e-01, 1.288690e-03, 6.801835e-04, 3.080418e+00, -4.516840e-02, 7.823457e-01, -1.628740e+00, 7.131481e-12, 3.095273e-11, -2.788205e-10, -9.368449e-11, 4.540086e+01, 5.919467e-03
2.570000e+08, 4.826566e-02, 9.517632e-01, 1.306980e-03, 6.924957e-04, 3.080247e+00, -4.590743e-02, 7.890029e-01, -1.626503e+00, 7.384186e-12, 3.091115e-11, -2.782673e-10, -8.626457e-11, 4.540397e+01, 5.931765e-03
2.608000e+08, 4.823202e-02, 9.517882e-01, 1.325404e-03, 7.048829e-04, 3.080071e+00, -4.664547e-02, 7.956468e-01, -1.624443e+00, 7.623238e-12, 3.087120e-11, -2.772946e-10, -7.901157e-11, 4.540707e+01, 5.944625e-03
2.646000e+08, 4.819841e-02, 9.518133e-01, 1.343966e-03, 7.173424e-04, 3.079889e+00, -4.738256e-02, 8.022676e-01, -1.622557e+00, 7.849678e-12, 3.083278e-11, -2.759131e-10, -7.192297e-11, 4.541017e+01, 5.958017e-03
2.684000e+08, 4.816486e-02, 9.518384e-01, 1.362671e-03, 7.298713e-04, 3.079702e+00, -4.811872e-02, 8.088553e-01, -1.620839e+00, 8.064477e-12, 3.079581e-11, -2.741375e-10, -6.499612e-11, 4.541327e+01, 5.971911e-03
