Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 2.015659e-02, 9.802815e-01, 1.649121e-03, 9.345312e-04, -3.124723e+00, -3.716942e-02, 8.376445e-01, -1.854941e+00, 1.401963e-10, 3.063821e-11, -5.864696e-10, 1.874527e-10, 4.802444e+01, -6.803219e-04
2.038000e+08, 2.016557e-02, 9.802755e-01, 1.699967e-03, 9.574963e-04, -3.128070e+00, -3.790094e-02, 8.516471e-01, -1.859416e+00, 1.365801e-10, 3.061986e-11, -6.264488e-10, 1.919218e-10, 4.802348e+01, -5.455841e-04
2.076000e+08, 2.017489e-02, 9.802695e-01, 1.751075e-03, 9.807511e-04, -3.131331e+00, -3.863203e-02, 8.666043e-01, -1.863999e+00, 1.331221e-10, 3.060253e-11, -6.665475e-10, 1.966027e-10, 4.802251e+01, -4.142115e-04
2.114000e+08, 2.018452e-02, 9.802636e-01, 1.802178e-03, 1.004307e-03, -3.134510e+00, -3.936270e-02, 8.825188e-01, -1.868693e+00, 1.298114e-10, 3.058617e-11, -7.059750e-10, 2.015037e-10, 4.802153e+01, -2.860514e-04
2.152000e+08, 2.019442e-02, 9.802576e-01, 1.852970e-03, 1.028175e-03, -3.137609e+00, -4.009297e-02, 8.993747e-01, -1.873504e+00, 1.266385e-10, 3.057070e-11, -7.438164e-10, 2.066344e-10, 4.802055e+01, -1.609621e-04
2.190000e+08, 2.020460e-02, 9.802517e-01, 1.903110e-03, 1.052368e-03, -3.140633e+00, -4.082288e-02, 9.171342e-01, -1.878437e+00, 1.235945e-10, 3.055607e-11, -7.790629e-10, 2.120055e-10, 4.801955e+01, -3.881111e-05
2.228000e+08, 2.021503e-02, 9.802457e-01, 1.952230e-03, 1.076899e-03, 3.139602e+00, -4.155244e-02, 9.357352e-01, -1.883499e+00, 1.206711e-10, 3.054221e-11, -8.106596e-10, 2.176296e-10, 4.801856e+01, 8.052480e-05
2.266000e+08, 2.022568e-02, 9.802398e-01, 1.999948e-03, 1.101780e-03, 3.136721e+00, -4.228167e-02, 9.550906e-01, -1.888695e+00, 1.178611e-10, 3.052909e-11, -8.375705e-10, 2.235203e-10, 4.801755e+01, 1.971610e-04
2.304000e+08, 2.023655e-02, 9.802339e-01, 2.045886e-03, 1.127025e-03, 3.133907e+00, -4.301059e-02, 9.750885e-01, -1.894032e+00, 1.151574e-10, 3.051664e-11, -8.588519e-10, 2.296928e-10, 4.801654e+01, 3.112053e-04
2.342000e+08, 2.024763e-02, 9.802280e-01, 2.089685e-03, 1.152648e-03, 3.131157e+00, -4.373921e-02, 9.955945e-01, -1.899516e+00, 1.125539e-10, 3.050483e-11, -8.737302e-10, 2.361639e-10, 4.801553e+01, 4.227589e-04
2.380000e+08, 2.025888e-02, 9.802221e-01, 2.131026e-03, 1.178663e-03, 3.128470e+00, -4.446754e-02, 1.016456e+00, -1.905155e+00, 1.100448e-10, 3.049363e-11, -8.816691e-10, 2.429519e-10, 4.801451e+01, 5.319166e-04
2.418000e+08, 2.027031e-02, 9.802162e-01, 2.169645e-03, 1.205086e-03, 3.125842e+00, -4.519561e-02, 1.037507e+00, -1.910956e+00, 1.076247e-10, 3.048298e-11, -8.824177e-10, 2.500769e-10, 4.801348e+01, 6.387677e-04
2.456000e+08, 2.028190e-02, 9.802104e-01, 2.205351e-03, 1.231931e-03, 3.123273e+00, -4.592343e-02, 1.058575e+00, -1.916927e+00, 1.052886e-10, 3.047286e-11, -8.760311e-10, 2.575606e-10, 4.801246e+01, 7.433959e-04
2.494000e+08, 2.029363e-02, 9.802045e-01, 2.238028e-03, 1.259214e-03, 3.120759e+00, -4.665100e-02, 1.079492e+00, -1.923076e+00, 1.030322e-10, 3.046324e-11, -8.628595e-10, 2.654266e-10, 4.801142e+01, 8.458804e-04
2.532000e+08, 2.030550e-02, 9.801987e-01, 2.267643e-03, 1.286952e-03, 3.118299e+00, -4.737834e-02, 1.100093e+00, -1.929414e+00, 1.008511e-10, 3.045409e-11, -8.435080e-10, 2.737006e-10, 4.801039e+01, 9.462956e-04
2.570000e+08, 2.031750e-02, 9.801929e-01, 2.294239e-03, 1.315161e-03, 3.115891e+00, -4.810547e-02, 1.120233e+00, -1.935949e+00, 9.874147e-11, 3.044537e-11, -8.187765e-10, 2.824102e-10, 4.800935e+01, 1.044712e-03
2.608000e+08, 2.032960e-02, 9.801870e-01, 2.317929e-03, 1.343857e-03, 3.113533e+00, -4.883239e-02, 1.139782e+00, -1.942691e+00, 9.669974e-11, 3.043708e-11, -7.895867e-10, 2.915853e-10, 4.800832e+01, 1.141197e-03
2.646000e+08, 2.034181e-02, 9.801812e-01, 2.338879e-03, 1.373058e-03, 3.111224e+00, -4.955910e-02, 1.158634e+00, -1.949653e+00, 9.472254e-11, 3.042917e-11, -7.569105e-10, 3.012579e-10, 4.800727e+01, 1.235812e-03
2.684000e+08, 2.035411e-02, 9.801754e-01, 2.357299e-03, 1.402781e-03, 3.108963e+00, -5.028563e-02, 1.176706e+00, -1.956846e+00, 9.280678e-11, 3.042164e-11, -7.217055e-10, 3.114627e-10, 4.800623e+01, 1.328618e-03
2.722000e+08, 2.036649e-02, 9.801697e-01, 2.373424e-03, 1.433043e-03, 3.106747e+00, -5.101198e-02, 1.193938e+00, -1.964283e+00, 9.094956e-11, 3.041445e-11, -6.848650e-10, 3.222366e-10, 4.800519e+01, 1.419672e-03
2.760000e+08, 2.037895e-02, 9.801639e-01, 2.387503e-03, 1.463862e-03, 3.104575e+00, -5.173816e-02, 1.210290e+00, -1.971976e+00, 8.914821e-11, 3.040760e-11, -6.471835e-10, 3.336191e-10, 4.800415e+01, 1.509027e-03
2.798000e+08, 2.039147e-02, 9.801581e-01, 2.399787e-03, 1.495253e-03, 3.102447e+00, -5.246418e-02, 1.225742e+00, -1.979942e+00, 8.740021e-11, 3.040107e-11, -6.093385e-10, 3.456524e-10, 4.800311e+01, 1.596734e-03
2.836000e+08, 2.040405e-02, 9.801524e-01, 2.410520e-03, 1.527234e-03, 3.100360e+00, -5.319004e-02, 1.240291e+00, -1.988195e+00, 8.570325e-11, 3.039483e-11, -5.718841e-10, 3.583813e-10, 4.800206e+01, 1.682844e-03
2.874000e+08, 2.041667e-02, 9.801467e-01, 2.419934e-03, 1.559819e-03, 3.098314e+00, -5.391575e-02, 1.253945e+00, -1.996752e+00, 8.405512e-11, 3.038887e-11, -5.352556e-10, 3.718530e-10, 4.800102e+01, 1.767402e-03
2.912000e+08, 2.042934e-02, 9.801410e-01, 2.428240e-03, 1.593025e-03, 3.096307e+00, -5.464132e-02, 1.266725e+00, -2.005630e+00, 8.245380e-11, 3.038318e-11, -4.997791e-10, 3.861174e-10, 4.799998e+01, 1.850453e-03
2.950000e+08, 2.044204e-02, 9.801353e-01, 2.435633e-03, 1.626862e-03, 3.094338e+00, -5.536675e-02, 1.278658e+00, -2.014849e+00, 8.089738e-11, 3.037774e-11, -4.656859e-10, 4.012265e-10, 4.799894e+01, 1.932039e-03
2.988000e+08, 2.045477e-02, 9.801296e-01, 2.442284e-03, 1.661344e-03, 3.092407e+00, -5.609205e-02, 1.289776e+00, -2.024429e+00, 7.938408e-11, 3.037254e-11, -4.331276e-10, 4.172342e-10, 4.799790e+01, 2.012201e-03
3.026000e+08, 2.046752e-02, 9.801240e-01, 2.448345e-03, 1.696479e-03, 3.090511e+00, -5.681723e-02, 1.300118e+00, -2.034391e+00, 7.791220e-11, 3.036758e-11, -4.021907e-10, 4.341957e-10, 4.799687e+01, 2.090978e-03
3.064000e+08, 2.048028e-02, 9.801184e-01, 2.453947e-03, 1.732273e-03, 3.088651e+00, -5.754229e-02, 1.309721e+00, -2.044757e+00, 7.648019e-11, 3.036283e-11, -3.729106e-10, 4.521670e-10, 4.799583e+01, 2.168408e-03
3.102000e+08, 2.049305e-02, 9.801128e-01, 2.459206e-03, 1.768727e-03, 3.086825e+00, -5.826723e-02, 1.318624e+00, -2.055553e+00, 7.508657e-11, 3.035829e-11, -3.452836e-10, 4.712037e-10, 4.799480e+01, 2.244526e-03
3.140000e+08, 2.050581e-02, 9.801072e-01, 2.464218e-03, 1.805840e-03, 3.085032e+00, -5.899207e-02, 1.326868e+00, -2.066804e+00, 7.372993e-11, 3.035394e-11, -3.192771e-10, 4.913599e-10, 4.799377e+01, 2.319366e-03
3.178000e+08, 2.051857e-02, 9.801016e-01, 2.469066e-03, 1.843602e-03, 3.083272e+00, -5.971680e-02, 1.334491e+00, -2.078536e+00, 7.240897e-11, 3.034979e-11, -2.948380e-10, 5.126862e-10, 4.799275e+01, 2.392963e-03
3.216000e+08, 2.053132e-02, 9.800961e-01, 2.473819e-03, 1.881997e-03, 3.081543e+00, -6.044144e-02, 1.341531e+00, -2.090777e+00, 7.112246e-11, 3.034581e-11, -2.718994e-10, 5.352277e-10, 4.799173e+01, 2.465347e-03
3.254000e+08, 2.054405e-02, 9.800906e-01, 2.478537e-03, 1.921003e-03, 3.079845e+00, -6.116598e-02, 1.348023e+00, -2.103556e+00, 6.986923e-11, 3.034200e-11, -2.503854e-10, 5.590213e-10, 4.799071e+01, 2.536550e-03
3.292000e+08, 2.055676e-02, 9.800851e-01, 2.483267e-03, 1.960585e-03, 3.078177e+00, -6.189043e-02, 1.354001e+00, -2.116903e+00, 6.864818e-11, 3.033836e-11, -2.302160e-10, 5.840919e-10, 4.798970e+01, 2.606600e-03
3.330000e+08, 2.056945e-02, 9.800797e-01, 2.488051e-03, 2.000697e-03, 3.076538e+00, -6.261479e-02, 1.359498e+00, -2.130849e+00, 6.745826e-11, 3.033487e-11, -2.113091e-10, 6.104488e-10, 4.798869e+01, 2.675527e-03
3.368000e+08, 2.058209e-02, 9.800743e-01, 2.492922e-03, 2.041279e-03, 3.074927e+00, -6.333907e-02, 1.364543e+00, -2.145424e+00, 6.629848e-11, 3.033152e-11, -1.935835e-10, 6.380798e-10, 4.798769e+01, 2.743359e-03
3.406000e+08, 2.059471e-02, 9.800689e-01, 2.497907e-03, 2.082257e-03, 3.073344e+00, -6.406327e-02, 1.369165e+00, -2.160659e+00, 6.516792e-11, 3.032832e-11, -1.769598e-10, 6.669462e-10, 4.798669e+01, 2.810121e-03
3.444000e+08, 2.060728e-02, 9.800636e-01, 2.503029e-03, 2.123535e-03, 3.071788e+00, -6.478739e-02, 1.373390e+00, -2.176583e+00, 6.406568e-11, 3.032526e-11, -1.613621e-10, 6.969752e-10, 4.798570e+01, 2.875839e-03
3.482000e+08, 2.061980e-02, 9.800582e-01, 2.508306e-03, 2.165000e-03, 3.070259e+00, -6.551144e-02, 1.377243e+00, -2.193224e+00, 6.299092e-11, 3.032232e-11, -1.467179e-10, 7.280531e-10, 4.798472e+01, 2.940539e-03
3.520000e+08, 2.063227e-02, 9.800529e-01, 2.513752e-03, 2.206514e-03, 3.068755e+00, -6.623542e-02, 1.380746e+00, -2.210607e+00, 6.194283e-11, 3.031951e-11, -1.329593e-10, 7.600168e-10, 4.798374e+01, 3.004245e-03
3.558000e+08, 2.064469e-02, 9.800477e-01, 2.519381e-03, 2.247916e-03, 3.067276e+00, -6.695933e-02, 1.383920e+00, -2.228753e+00, 6.092066e-11, 3.031681e-11, -1.200225e-10, 7.926461e-10, 4.798276e+01, 3.066980e-03
3.596000e+08, 2.065705e-02, 9.800425e-01, 2.525201e-03, 2.289016e-03, 3.065821e+00, -6.768318e-02, 1.386786e+00, -2.247679e+00, 5.992367e-11, 3.031422e-11, -1.078484e-10, 8.256562e-10, 4.798180e+01, 3.128767e-03
3.634000e+08, 2.066934e-02, 9.800373e-01, 2.531219e-03, 2.329599e-03, 3.064390e+00, -6.840696e-02, 1.389361e+00, -2.267392e+00, 5.895118e-11, 3.031175e-11, -9.638208e-11, 8.586916e-10, 4.798084e+01, 3.189627e-03
3.672000e+08, 2.068157e-02, 9.800322e-01, 2.537442e-03, 2.369421e-03, 3.062983e+00, -6.913069e-02, 1.391662e+00, -2.287894e+00, 5.800251e-11, 3.030937e-11, -8.557288e-11, 8.913231e-10, 4.797988e+01, 3.249584e-03
3.710000e+08, 2.069373e-02, 9.800270e-01, 2.543874e-03, 2.408214e-03, 3.061598e+00, -6.985436e-02, 1.393705e+00, -2.309176e+00, 5.707703e-11, 3.030710e-11, -7.537420e-11, 9.230481e-10, 4.797894e+01, 3.308656e-03
3.748000e+08, 2.070582e-02, 9.800220e-01, 2.550518e-03, 2.445687e-03, 3.060235e+00, -7.057797e-02, 1.395505e+00, -2.331214e+00, 5.617414e-11, 3.030491e-11, -6.574320e-11, 9.532968e-10, 4.797800e+01, 3.366865e-03
3.786000e+08, 2.071783e-02, 9.800170e-01, 2.557378e-03, 2.481530e-03, 3.058894e+00, -7.130154e-02, 1.397075e+00, -2.353975e+00, 5.529326e-11, 3.030282e-11, -5.664063e-11, 9.814450e-10, 4.797707e+01, 3.424230e-03
3.824000e+08, 2.072976e-02, 9.800120e-01, 2.564454e-03, 2.515426e-03, 3.057574e+00, -7.202505e-02, 1.398427e+00, -2.377409e+00, 5.443382e-11, 3.030081e-11, -4.803053e-11, 1.006833e-09, 4.797615e+01, 3.480770e-03
3.862000e+08, 2.074161e-02, 9.800070e-01, 2.571748e-03, 2.547055e-03, 3.056274e+00, -7.274851e-02, 1.399574e+00, -2.401448e+00, 5.359530e-11, 3.029889e-11, -3.988006e-11, 1.028796e-09, 4.797523e+01, 3.536505e-03
3.900000e+08, 2.075337e-02, 9.800021e-01, 2.579262e-03, 2.576108e-03, 3.054994e+00, -7.347193e-02, 1.400526e+00, -2.426011e+00, 5.277718e-11, 3.029704e-11, -3.215920e-11, 1.046693e-09, 4.797433e+01, 3.591452e-03
3.938000e+08, 2.076504e-02, 9.799972e-01, 2.586996e-03, 2.602299e-03, 3.053734e+00, -7.419531e-02, 1.401294e+00, -2.451002e+00, 5.197896e-11, 3.029527e-11, -2.484056e-11, 1.059949e-09, 4.797343e+01, 3.645629e-03
3.976000e+08, 2.077662e-02, 9.799924e-01, 2.594951e-03, 2.625379e-03, 3.052493e+00, -7.491864e-02, 1.401887e+00, -2.476310e+00, 5.120017e-11, 3.029357e-11, -1.789915e-11, 1.068091e-09, 4.797254e+01, 3.699053e-03
4.014000e+08, 2.078811e-02, 9.799877e-01, 2.603126e-03, 2.645144e-03, 3.051271e+00, -7.564193e-02, 1.402314e+00, -2.501812e+00, 5.044035e-11, 3.029194e-11, -1.131221e-11, 1.070786e-09, 4.797166e+01, 3.751742e-03
4.052000e+08, 2.079950e-02, 9.799829e-01, 2.611522e-03, 2.661453e-03, 3.050066e+00, -7.636519e-02, 1.402584e+00, -2.527378e+00, 4.969907e-11, 3.029037e-11, -5.058972e-12, 1.067864e-09, 4.797079e+01, 3.803712e-03
4.090000e+08, 2.081079e-02, 9.799782e-01, 2.620140e-03, 2.674229e-03, 3.048880e+00, -7.708840e-02, 1.402705e+00, -2.552874e+00, 4.897589e-11, 3.028887e-11, 8.794651e-13, 1.059334e-09, 4.796993e+01, 3.854979e-03
4.128000e+08, 2.082198e-02, 9.799736e-01, 2.628978e-03, 2.683463e-03, 3.047710e+00, -7.781158e-02, 1.402684e+00, -2.578167e+00, 4.827040e-11, 3.028743e-11, 6.520328e-12, 1.045387e-09, 4.796908e+01, 3.905559e-03
4.166000e+08, 2.083307e-02, 9.799690e-01, 2.638038e-03, 2.689221e-03, 3.046558e+00, -7.853473e-02, 1.402529e+00, -2.603127e+00, 4.758220e-11, 3.028605e-11, 1.187931e-11, 1.026383e-09, 4.796824e+01, 3.955467e-03
4.204000e+08, 2.084405e-02, 9.799644e-01, 2.647319e-03, 2.691629e-03, 3.045422e+00, -7.925784e-02, 1.402245e+00, -2.627633e+00, 4.691091e-11, 3.028472e-11, 1.697071e-11, 1.002820e-09, 4.796741e+01, 4.004718e-03
4.242000e+08, 2.085493e-02, 9.799599e-01, 2.656822e-03, 2.690872e-03, 3.044302e+00, -7.998092e-02, 1.401840e+00, -2.651576e+00, 4.625616e-11, 3.028345e-11, 2.180757e-11, 9.753071e-10, 4.796658e+01, 4.053328e-03
4.280000e+08, 2.086569e-02, 9.799555e-01, 2.666546e-03, 2.687184e-03, 3.043197e+00, -8.070397e-02, 1.401319e+00, -2.674863e+00, 4.561758e-11, 3.028222e-11, 2.640178e-11, 9.445187e-10, 4.796577e+01, 4.101310e-03
4.318000e+08, 2.087635e-02, 9.799511e-01, 2.676492e-03, 2.680831e-03, 3.042108e+00, -8.142700e-02, 1.400689e+00, -2.697414e+00, 4.499483e-11, 3.028105e-11, 3.076419e-11, 9.111583e-10, 4.796497e+01, 4.148679e-03
4.356000e+08, 2.088689e-02, 9.799467e-01, 2.686661e-03, 2.672101e-03, 3.041034e+00, -8.214999e-02, 1.399954e+00, -2.719169e+00, 4.438756e-11, 3.027992e-11, 3.490473e-11, 8.759217e-10, 4.796418e+01, 4.195448e-03
