Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 5.188789e-02, 1.076787e+00, 1.642244e-03, 7.588039e-04, 3.101624e+00, -3.534601e-02, 1.250163e+00, -1.207536e+00, 3.072627e-11, 3.138140e-11, -3.525296e-10, 1.833087e-10, 4.507093e+01, 4.157846e-03
2.038000e+08, 5.187686e-02, 1.076790e+00, 1.665821e-03, 7.809066e-04, 3.100890e+00, -3.609527e-02, 1.258580e+00, -1.211912e+00, 3.080280e-11, 3.130048e-11, -3.439416e-10, 1.796806e-10, 4.507207e+01, 4.233215e-03
2.076000e+08, 5.186569e-02, 1.076793e+00, 1.689125e-03, 8.033589e-04, 3.100155e+00, -3.684260e-02, 1.266792e+00, -1.216203e+00, 3.087754e-11, 3.122299e-11, -3.355250e-10, 1.759899e-10, 4.507322e+01, 4.308728e-03
2.114000e+08, 5.185440e-02, 1.076796e+00, 1.712158e-03, 8.261704e-04, 3.099418e+00, -3.758809e-02, 1.274803e+00, -1.220404e+00, 3.095061e-11, 3.114870e-11, -3.272753e-10, 1.722264e-10, 4.507438e+01, 4.384380e-03
2.152000e+08, 5.184298e-02, 1.076799e+00, 1.734926e-03, 8.493509e-04, 3.098679e+00, -3.833180e-02, 1.282617e+00, -1.224517e+00, 3.102210e-11, 3.107740e-11, -3.191882e-10, 1.683799e-10, 4.507556e+01, 4.460167e-03
2.190000e+08, 5.183144e-02, 1.076803e+00, 1.757431e-03, 8.729109e-04, 3.097938e+00, -3.907380e-02, 1.290238e+00, -1.228537e+00, 3.109209e-11, 3.100889e-11, -3.112594e-10, 1.644402e-10, 4.507676e+01, 4.536084e-03
2.228000e+08, 5.181978e-02, 1.076807e+00, 1.779676e-03, 8.968617e-04, 3.097196e+00, -3.981418e-02, 1.297669e+00, -1.232463e+00, 3.116068e-11, 3.094299e-11, -3.034847e-10, 1.603964e-10, 4.507796e+01, 4.612126e-03
2.266000e+08, 5.180800e-02, 1.076811e+00, 1.801666e-03, 9.212153e-04, 3.096452e+00, -4.055297e-02, 1.304916e+00, -1.236293e+00, 3.122792e-11, 3.087954e-11, -2.958598e-10, 1.562375e-10, 4.507918e+01, 4.688291e-03
2.304000e+08, 5.179612e-02, 1.076815e+00, 1.823404e-03, 9.459841e-04, 3.095706e+00, -4.129026e-02, 1.311979e+00, -1.240023e+00, 3.129389e-11, 3.081839e-11, -2.883806e-10, 1.519517e-10, 4.508042e+01, 4.764574e-03
2.342000e+08, 5.178413e-02, 1.076819e+00, 1.844893e-03, 9.711816e-04, 3.094959e+00, -4.202608e-02, 1.318865e+00, -1.243651e+00, 3.135863e-11, 3.075940e-11, -2.810430e-10, 1.475268e-10, 4.508166e+01, 4.840972e-03
2.380000e+08, 5.177203e-02, 1.076824e+00, 1.866137e-03, 9.968220e-04, 3.094210e+00, -4.276049e-02, 1.325575e+00, -1.247173e+00, 3.142221e-11, 3.070245e-11, -2.738432e-10, 1.429499e-10, 4.508292e+01, 4.917481e-03
2.418000e+08, 5.175983e-02, 1.076828e+00, 1.887140e-03, 1.022920e-03, 3.093460e+00, -4.349355e-02, 1.332113e+00, -1.250586e+00, 3.148467e-11, 3.064743e-11, -2.667773e-10, 1.382073e-10, 4.508419e+01, 4.994099e-03
2.456000e+08, 5.174754e-02, 1.076833e+00, 1.907905e-03, 1.049493e-03, 3.092708e+00, -4.422529e-02, 1.338483e+00, -1.253886e+00, 3.154605e-11, 3.059421e-11, -2.598416e-10, 1.332842e-10, 4.508547e+01, 5.070822e-03
2.494000e+08, 5.173515e-02, 1.076838e+00, 1.928435e-03, 1.076556e-03, 3.091955e+00, -4.495576e-02, 1.344687e+00, -1.257069e+00, 3.160638e-11, 3.054272e-11, -2.530323e-10, 1.281649e-10, 4.508676e+01, 5.147648e-03
2.532000e+08, 5.172267e-02, 1.076843e+00, 1.948734e-03, 1.104127e-03, 3.091200e+00, -4.568500e-02, 1.350728e+00, -1.260129e+00, 3.166571e-11, 3.049285e-11, -2.463460e-10, 1.228324e-10, 4.508807e+01, 5.224573e-03
2.570000e+08, 5.171011e-02, 1.076849e+00, 1.968806e-03, 1.132226e-03, 3.090444e+00, -4.641305e-02, 1.356610e+00, -1.263061e+00, 3.172406e-11, 3.044452e-11, -2.397792e-10, 1.172685e-10, 4.508938e+01, 5.301594e-03
2.608000e+08, 5.169746e-02, 1.076854e+00, 1.988655e-03, 1.160873e-03, 3.089687e+00, -4.713995e-02, 1.362335e+00, -1.265861e+00, 3.178146e-11, 3.039766e-11, -2.333286e-10, 1.114534e-10, 4.509071e+01, 5.378710e-03
2.646000e+08, 5.168473e-02, 1.076860e+00, 2.008282e-03, 1.190088e-03, 3.088928e+00, -4.786573e-02, 1.367906e+00, -1.268522e+00, 3.183793e-11, 3.035219e-11, -2.269910e-10, 1.053657e-10, 4.509204e+01, 5.455917e-03
2.684000e+08, 5.167192e-02, 1.076865e+00, 2.027693e-03, 1.219894e-03, 3.088168e+00, -4.859042e-02, 1.373326e+00, -1.271038e+00, 3.189350e-11, 3.030805e-11, -2.207633e-10, 9.898201e-11, 4.509339e+01, 5.533213e-03
2.722000e+08, 5.165903e-02, 1.076871e+00, 2.046891e-03, 1.250315e-03, 3.087406e+00, -4.931406e-02, 1.378597e+00, -1.273401e+00, 3.194818e-11, 3.026517e-11, -2.146424e-10, 9.227707e-11, 4.509475e+01, 5.610596e-03
2.760000e+08, 5.164608e-02, 1.076877e+00, 2.065879e-03, 1.281375e-03, 3.086644e+00, -5.003667e-02, 1.383722e+00, -1.275605e+00, 3.200200e-11, 3.022350e-11, -2.086254e-10, 8.522319e-11, 4.509611e+01, 5.688063e-03
2.798000e+08, 5.163305e-02, 1.076883e+00, 2.084661e-03, 1.313102e-03, 3.085879e+00, -5.075829e-02, 1.388703e+00, -1.277640e+00, 3.205496e-11, 3.018299e-11, -2.027095e-10, 7.779013e-11, 4.509749e+01, 5.765612e-03
2.836000e+08, 5.161996e-02, 1.076889e+00, 2.103241e-03, 1.345523e-03, 3.085114e+00, -5.147894e-02, 1.393543e+00, -1.279497e+00, 3.210709e-11, 3.014359e-11, -1.968920e-10, 6.994487e-11, 4.509887e+01, 5.843241e-03
2.874000e+08, 5.160681e-02, 1.076896e+00, 2.121621e-03, 1.378666e-03, 3.084348e+00, -5.219865e-02, 1.398244e+00, -1.281167e+00, 3.215840e-11, 3.010524e-11, -1.911703e-10, 6.165119e-11, 4.510026e+01, 5.920947e-03
2.912000e+08, 5.159359e-02, 1.076902e+00, 2.139806e-03, 1.412565e-03, 3.083580e+00, -5.291745e-02, 1.402808e+00, -1.282639e+00, 3.220889e-11, 3.006792e-11, -1.855419e-10, 5.286944e-11, 4.510166e+01, 5.998729e-03
2.950000e+08, 5.158032e-02, 1.076908e+00, 2.157799e-03, 1.447250e-03, 3.082811e+00, -5.363536e-02, 1.407238e+00, -1.283901e+00, 3.225858e-11, 3.003157e-11, -1.800043e-10, 4.355608e-11, 4.510307e+01, 6.076584e-03
2.988000e+08, 5.156700e-02, 1.076915e+00, 2.175604e-03, 1.482756e-03, 3.082041e+00, -5.435239e-02, 1.411536e+00, -1.284941e+00, 3.230748e-11, 2.999616e-11, -1.745552e-10, 3.366334e-11, 4.510449e+01, 6.154510e-03
3.026000e+08, 5.155362e-02, 1.076922e+00, 2.193225e-03, 1.519119e-03, 3.081269e+00, -5.506858e-02, 1.415704e+00, -1.285745e+00, 3.235559e-11, 2.996166e-11, -1.691923e-10, 2.313871e-11, 4.510591e+01, 6.232505e-03
3.064000e+08, 5.154020e-02, 1.076929e+00, 2.210664e-03, 1.556376e-03, 3.080497e+00, -5.578395e-02, 1.419743e+00, -1.286297e+00, 3.240293e-11, 2.992803e-11, -1.639135e-10, 1.192455e-11, 4.510734e+01, 6.310567e-03
3.102000e+08, 5.152673e-02, 1.076935e+00, 2.227926e-03, 1.594567e-03, 3.079723e+00, -5.649852e-02, 1.423657e+00, -1.286582e+00, 3.244950e-11, 2.989524e-11, -1.587167e-10, -4.249017e-14, 4.510878e+01, 6.388695e-03
3.140000e+08, 5.151321e-02, 1.076942e+00, 2.245015e-03, 1.633733e-03, 3.078948e+00, -5.721230e-02, 1.427446e+00, -1.286581e+00, 3.249531e-11, 2.986327e-11, -1.535999e-10, -1.283197e-11, 4.511023e+01, 6.466886e-03
3.178000e+08, 5.149965e-02, 1.076949e+00, 2.261933e-03, 1.673916e-03, 3.078172e+00, -5.792532e-02, 1.431114e+00, -1.286275e+00, 3.254036e-11, 2.983208e-11, -1.485612e-10, -2.652023e-11, 4.511168e+01, 6.545138e-03
3.216000e+08, 5.148606e-02, 1.076956e+00, 2.278686e-03, 1.715158e-03, 3.077395e+00, -5.863759e-02, 1.434661e+00, -1.285641e+00, 3.258466e-11, 2.980165e-11, -1.435988e-10, -4.119095e-11, 4.511314e+01, 6.623450e-03
3.254000e+08, 5.147243e-02, 1.076964e+00, 2.295276e-03, 1.757506e-03, 3.076617e+00, -5.934914e-02, 1.438089e+00, -1.284658e+00, 3.262822e-11, 2.977196e-11, -1.387109e-10, -5.693569e-11, 4.511461e+01, 6.701820e-03
3.292000e+08, 5.145876e-02, 1.076971e+00, 2.311707e-03, 1.801004e-03, 3.075838e+00, -6.005998e-02, 1.441401e+00, -1.283299e+00, 3.267103e-11, 2.974299e-11, -1.338959e-10, -7.385442e-11, 4.511608e+01, 6.780245e-03
3.330000e+08, 5.144507e-02, 1.076978e+00, 2.327983e-03, 1.845698e-03, 3.075058e+00, -6.077012e-02, 1.444598e+00, -1.281535e+00, 3.271311e-11, 2.971471e-11, -1.291522e-10, -9.205589e-11, 4.511756e+01, 6.858724e-03
3.368000e+08, 5.143134e-02, 1.076986e+00, 2.344107e-03, 1.891633e-03, 3.074277e+00, -6.147959e-02, 1.447682e+00, -1.279337e+00, 3.275446e-11, 2.968710e-11, -1.244782e-10, -1.116579e-10, 4.511904e+01, 6.937256e-03
3.406000e+08, 5.141759e-02, 1.076993e+00, 2.360084e-03, 1.938851e-03, 3.073495e+00, -6.218841e-02, 1.450654e+00, -1.276671e+00, 3.279507e-11, 2.966015e-11, -1.198725e-10, -1.327875e-10, 4.512053e+01, 7.015838e-03
3.444000e+08, 5.140381e-02, 1.077001e+00, 2.375917e-03, 1.987396e-03, 3.072712e+00, -6.289658e-02, 1.453516e+00, -1.273501e+00, 3.283497e-11, 2.963383e-11, -1.153337e-10, -1.555803e-10, 4.512202e+01, 7.094468e-03
3.482000e+08, 5.139001e-02, 1.077008e+00, 2.391611e-03, 2.037303e-03, 3.071928e+00, -6.360412e-02, 1.456270e+00, -1.269786e+00, 3.287414e-11, 2.960813e-11, -1.108605e-10, -1.801798e-10, 4.512352e+01, 7.173146e-03
3.520000e+08, 5.137619e-02, 1.077016e+00, 2.407168e-03, 2.088605e-03, 3.071143e+00, -6.431104e-02, 1.458917e+00, -1.265484e+00, 3.291259e-11, 2.958304e-11, -1.064516e-10, -2.067360e-10, 4.512503e+01, 7.251868e-03
3.558000e+08, 5.136235e-02, 1.077024e+00, 2.422593e-03, 2.141325e-03, 3.070357e+00, -6.501737e-02, 1.461458e+00, -1.260548e+00, 3.295033e-11, 2.955853e-11, -1.021060e-10, -2.354025e-10, 4.512653e+01, 7.330634e-03
3.596000e+08, 5.134850e-02, 1.077032e+00, 2.437889e-03, 2.195475e-03, 3.069571e+00, -6.572311e-02, 1.463896e+00, -1.254928e+00, 3.298736e-11, 2.953460e-11, -9.782240e-11, -2.663326e-10, 4.512805e+01, 7.409442e-03
3.634000e+08, 5.133463e-02, 1.077040e+00, 2.453061e-03, 2.251053e-03, 3.068783e+00, -6.642828e-02, 1.466232e+00, -1.248569e+00, 3.302368e-11, 2.951123e-11, -9.359986e-11, -2.996736e-10, 4.512957e+01, 7.488291e-03
3.672000e+08, 5.132075e-02, 1.077048e+00, 2.468112e-03, 2.308039e-03, 3.067995e+00, -6.713290e-02, 1.468467e+00, -1.241414e+00, 3.305930e-11, 2.948840e-11, -8.943736e-11, -3.355585e-10, 4.513109e+01, 7.567177e-03
3.710000e+08, 5.130685e-02, 1.077056e+00, 2.483046e-03, 2.366385e-03, 3.067205e+00, -6.783697e-02, 1.470602e+00, -1.233402e+00, 3.309422e-11, 2.946611e-11, -8.533399e-11, -3.740952e-10, 4.513261e+01, 7.646101e-03
3.748000e+08, 5.129295e-02, 1.077064e+00, 2.497867e-03, 2.426016e-03, 3.066415e+00, -6.854050e-02, 1.472640e+00, -1.224470e+00, 3.312844e-11, 2.944434e-11, -8.128890e-11, -4.153511e-10, 4.513414e+01, 7.725059e-03
3.786000e+08, 5.127904e-02, 1.077072e+00, 2.512580e-03, 2.486816e-03, 3.065624e+00, -6.924352e-02, 1.474580e+00, -1.214553e+00, 3.316197e-11, 2.942308e-11, -7.730127e-11, -4.593347e-10, 4.513568e+01, 7.804052e-03
3.824000e+08, 5.126513e-02, 1.077080e+00, 2.527187e-03, 2.548623e-03, 3.064832e+00, -6.994603e-02, 1.476426e+00, -1.203586e+00, 3.319481e-11, 2.940232e-11, -7.337038e-11, -5.059713e-10, 4.513722e+01, 7.883076e-03
3.862000e+08, 5.125121e-02, 1.077088e+00, 2.541694e-03, 2.611218e-03, 3.064040e+00, -7.064804e-02, 1.478178e+00, -1.191505e+00, 3.322696e-11, 2.938204e-11, -6.949553e-11, -5.550750e-10, 4.513876e+01, 7.962130e-03
3.900000e+08, 5.123729e-02, 1.077096e+00, 2.556103e-03, 2.674319e-03, 3.063247e+00, -7.134957e-02, 1.479837e+00, -1.178252e+00, 3.325843e-11, 2.936225e-11, -6.567610e-11, -6.063152e-10, 4.514030e+01, 8.041214e-03
3.938000e+08, 5.122337e-02, 1.077105e+00, 2.570420e-03, 2.737565e-03, 3.062452e+00, -7.205062e-02, 1.481405e+00, -1.163776e+00, 3.328922e-11, 2.934292e-11, -6.191152e-11, -6.591825e-10, 4.514185e+01, 8.120325e-03
3.976000e+08, 5.120944e-02, 1.077113e+00, 2.584647e-03, 2.800514e-03, 3.061658e+00, -7.275122e-02, 1.482883e+00, -1.148037e+00, 3.331934e-11, 2.932405e-11, -5.820127e-11, -7.129544e-10, 4.514340e+01, 8.199461e-03
4.014000e+08, 5.119552e-02, 1.077122e+00, 2.598790e-03, 2.862635e-03, 3.060862e+00, -7.345136e-02, 1.484273e+00, -1.131014e+00, 3.334879e-11, 2.930563e-11, -5.454488e-11, -7.666695e-10, 4.514495e+01, 8.278622e-03
