Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 9.016521e-02, 9.709181e-01, 8.565226e-04, 4.669635e-04, 3.141196e+00, -3.602114e-02, 1.235519e+00, -1.828898e+00, 2.719269e-11, 3.003634e-11, -3.776726e-11, -7.288685e-11, 4.172922e+01, 7.218333e-05
2.038000e+08, 9.017850e-02, 9.708986e-01, 8.730098e-04, 4.776077e-04, 3.140546e+00, -3.673829e-02, 1.236420e+00, -1.827158e+00, 2.654532e-11, 3.000060e-11, -3.815630e-11, -7.275721e-11, 4.172810e+01, 1.902519e-04
2.076000e+08, 9.019201e-02, 9.708791e-01, 8.896136e-04, 4.882662e-04, 3.139913e+00, -3.745459e-02, 1.237331e+00, -1.825420e+00, 2.592602e-11, 2.996632e-11, -3.852281e-11, -7.254101e-11, 4.172697e+01, 3.055456e-04
2.114000e+08, 9.020574e-02, 9.708595e-01, 9.063357e-04, 4.989375e-04, 3.139294e+00, -3.817006e-02, 1.238251e+00, -1.823688e+00, 2.533284e-11, 2.993343e-11, -3.886773e-11, -7.224531e-11, 4.172583e+01, 4.181857e-04
2.152000e+08, 9.021966e-02, 9.708399e-01, 9.231777e-04, 5.096203e-04, 3.138689e+00, -3.888476e-02, 1.239179e+00, -1.821964e+00, 2.476403e-11, 2.990181e-11, -3.919203e-11, -7.187658e-11, 4.172467e+01, 5.282852e-04
2.190000e+08, 9.023377e-02, 9.708202e-01, 9.401409e-04, 5.203132e-04, 3.138097e+00, -3.959870e-02, 1.240115e+00, -1.820247e+00, 2.421797e-11, 2.987139e-11, -3.949667e-11, -7.144082e-11, 4.172349e+01, 6.359493e-04
2.228000e+08, 9.024805e-02, 9.708004e-01, 9.572267e-04, 5.310150e-04, 3.137519e+00, -4.031191e-02, 1.241058e+00, -1.818542e+00, 2.369318e-11, 2.984210e-11, -3.978261e-11, -7.094354e-11, 4.172231e+01, 7.412762e-04
2.266000e+08, 9.026250e-02, 9.707806e-01, 9.744363e-04, 5.417245e-04, 3.136954e+00, -4.102442e-02, 1.242008e+00, -1.816848e+00, 2.318833e-11, 2.981387e-11, -4.005087e-11, -7.038983e-11, 4.172111e+01, 8.443578e-04
2.304000e+08, 9.027709e-02, 9.707607e-01, 9.917709e-04, 5.524406e-04, 3.136400e+00, -4.173626e-02, 1.242964e+00, -1.815167e+00, 2.270217e-11, 2.978663e-11, -4.030244e-11, -6.978439e-11, 4.171991e+01, 9.452799e-04
2.342000e+08, 9.029183e-02, 9.707408e-01, 1.009232e-03, 5.631621e-04, 3.135858e+00, -4.244745e-02, 1.243926e+00, -1.813501e+00, 2.223357e-11, 2.976032e-11, -4.053834e-11, -6.913155e-11, 4.171869e+01, 1.044123e-03
2.380000e+08, 9.030669e-02, 9.707208e-01, 1.026819e-03, 5.738880e-04, 3.135327e+00, -4.315801e-02, 1.244894e+00, -1.811850e+00, 2.178149e-11, 2.973490e-11, -4.075960e-11, -6.843534e-11, 4.171746e+01, 1.140963e-03
2.418000e+08, 9.032167e-02, 9.707008e-01, 1.044535e-03, 5.846173e-04, 3.134807e+00, -4.386796e-02, 1.245867e+00, -1.810216e+00, 2.134497e-11, 2.971032e-11, -4.096727e-11, -6.769946e-11, 4.171623e+01, 1.235871e-03
2.456000e+08, 9.033676e-02, 9.706807e-01, 1.062379e-03, 5.953491e-04, 3.134297e+00, -4.457733e-02, 1.246846e+00, -1.808600e+00, 2.092313e-11, 2.968652e-11, -4.116238e-11, -6.692734e-11, 4.171499e+01, 1.328913e-03
